[0;90m2024-10-11 14:15:56.784 [0;1;93m[Warning][m: IPC channel still there, doing an unlink of server-user-0-function-0
[0;90m2024-10-11 14:15:56.784 [0;1;96m[ Debug ][m: Application registered management segment 0x747e25340000 with size 65796264 to id 1
[0;90m2024-10-11 14:15:56.785 [0;1;96m[ Debug ][m: Application registered payload data segment 0x747cae138000 with size 6293584200 to id 2
[2024-10-11 14:15:56.785] [error] Enabling use of VMM-based allocations in CUDA!
[2024-10-11 14:15:56.871] [error] Message from the orchestrator! Code 1
[2024-10-11 14:15:56.871] [info] [ExecutionStatus] CPU execution!
[2024-10-11 14:15:56.871] [error] Message from the orchestrator! Code 3
[2024-10-11 14:15:56.871] [info] [ExecutionStatus] Full execution!
[2024-10-11 14:16:01.135] [error] Total size 578.0 0
[2024-10-11 14:16:01.137] [error] Total size 578.0 0
[2024-10-11 14:16:01.137] [error] Total size 578.0 0
[2024-10-11 14:16:01.139] [error] Total size 578.0 0
[2024-10-11 14:16:01.139] [error] Total size 578.0 0
[2024-10-11 14:16:01.141] [error] Total size 578.0 0
[2024-10-11 14:16:01.141] [error] Total size 578.0 0
[2024-10-11 14:16:01.143] [error] Total size 578.0 0
[2024-10-11 14:16:01.143] [error] Total size 578.0 0
[2024-10-11 14:16:01.143] [error] Total size 578.0 0
[2024-10-11 14:16:01.143] [error] Total size 578.0 0
[2024-10-11 14:16:01.144] [error] Total size 594.0 0
[2024-10-11 14:16:01.152] [error] Total size 594.0 0
[2024-10-11 14:16:01.152] [error] Total size 594.0 0
[2024-10-11 14:16:01.152] [error] Total size 610.0 0
[2024-10-11 14:16:01.161] [error] Total size 610.0 0
[2024-10-11 14:16:01.161] [error] Total size 610.0 0
[2024-10-11 14:16:01.161] [error] Total size 610.0 0
[2024-10-11 14:16:01.161] [error] Total size 610.0 0
[2024-10-11 14:16:01.163] [error] Total size 610.0 0
[2024-10-11 14:16:01.163] [error] Total size 610.0 0
[2024-10-11 14:16:01.163] [error] Total size 630.0 0
[2024-10-11 14:16:01.165] [error] Total size 630.0 0
[2024-10-11 14:16:01.165] [error] Total size 630.0 0
[2024-10-11 14:16:01.167] [error] Total size 630.0 0
[2024-10-11 14:16:01.168] [error] Total size 630.0 0
[2024-10-11 14:16:01.169] [error] Total size 630.0 0
[2024-10-11 14:16:01.170] [error] Total size 630.0 0
[2024-10-11 14:16:01.170] [error] Total size 630.0 0
[2024-10-11 14:16:01.170] [error] Total size 630.0 0
[2024-10-11 14:16:01.170] [error] Total size 646.0 0
[2024-10-11 14:16:01.178] [error] Total size 646.0 0
[2024-10-11 14:16:01.179] [error] Total size 646.0 0
[2024-10-11 14:16:01.179] [error] Total size 662.0 0
[2024-10-11 14:16:01.187] [error] Total size 662.0 0
[2024-10-11 14:16:01.188] [error] Total size 662.0 0
[2024-10-11 14:16:01.188] [error] Total size 662.0 0
[2024-10-11 14:16:01.188] [error] Total size 662.0 0
[2024-10-11 14:16:01.190] [error] Total size 662.0 0
[2024-10-11 14:16:01.190] [error] Total size 662.0 0
[2024-10-11 14:16:01.192] [error] Total size 662.0 0
[2024-10-11 14:16:01.192] [error] Total size 662.0 0
[2024-10-11 14:16:01.192] [error] Total size 682.0 0
[2024-10-11 14:16:01.194] [error] Total size 682.0 0
[2024-10-11 14:16:01.194] [error] Total size 682.0 0
[2024-10-11 14:16:01.196] [error] Total size 682.0 0
[2024-10-11 14:16:01.196] [error] Total size 682.0 0
[2024-10-11 14:16:01.197] [error] Total size 682.0 0
[2024-10-11 14:16:01.197] [error] Total size 682.0 0
[2024-10-11 14:16:01.197] [error] Total size 698.0 0
[2024-10-11 14:16:01.205] [error] Total size 698.0 0
[2024-10-11 14:16:01.205] [error] Total size 698.0 0
[2024-10-11 14:16:01.205] [error] Total size 714.0 0
[2024-10-11 14:16:01.214] [error] Total size 714.0 0
[2024-10-11 14:16:01.214] [error] Total size 714.0 0
[2024-10-11 14:16:01.214] [error] Total size 714.0 0
[2024-10-11 14:16:01.214] [error] Total size 714.0 0
[2024-10-11 14:16:01.216] [error] Total size 714.0 0
[2024-10-11 14:16:01.216] [error] Total size 714.0 0
[2024-10-11 14:16:01.218] [error] Total size 714.0 0
[2024-10-11 14:16:01.218] [error] Total size 714.0 0
